"comparison","apcs","se","ID","sex"
"Sorrento2006",0.509830588673925,0.0993915212109237,"site","MALE"
"Sorrento2006_signed",0.0017786364474744,8.58054576217165,"site","MALE"
"Tolko2000",0.499583294869215,0.102002602604339,"site","MALE"
"Tolko2000_signed",0.00448693275764431,3.71764743206224,"site","MALE"
"Tolko2005",0.512510228257021,0.101556932850245,"site","MALE"
"Tolko2005_signed",-0.0182186557194256,-0.965648819605588,"site","MALE"
"Vernon2000",0.48111962816583,0.105073427843389,"site","MALE"
"Vernon2000_signed",-0.0171023818199169,-1.13681397108937,"site","MALE"
"Vernon2007",0.604753057295491,0.100779053829048,"site","MALE"
"Vernon2007_signed",-0.0365508462745219,-0.570517573199403,"site","MALE"
"forcing",0.444317121371057,0.0120655085069292,"year","MALE"
"forcing_signed",-0.00409277660025746,-0.0982180491513209,"year","MALE"
"Kalamalka2005",2.32854959276699,0.0118794470023929,"year","MALE"
"Kalamalka2005_signed",-0.0102133913392823,-0.253677331852078,"year","MALE"
"Kalamalka2008",1.50503540114479,0.0132665186854097,"year","MALE"
"Kalamalka2008_signed",-0.00594471387828043,-0.364382456454203,"year","MALE"
"Kalamalka2011",1.51671168335232,0.0128833636017287,"year","MALE"
"Kalamalka2011_signed",-0.0245467716998129,-0.103005297458687,"year","MALE"
"KettleRiver1997",2.0101852991506,0.0128460636511804,"year","MALE"
"KettleRiver1997_signed",0.00885373311787853,0.312469888940193,"year","MALE"
"KettleRiver2001",2.46661854477382,0.0120729310605255,"year","MALE"
"KettleRiver2001_signed",-0.0127157412645099,-0.235346654758524,"year","MALE"
"PGTIS1999",1.93266078386534,0.0119327784304358,"year","MALE"
"PGTIS1999_signed",-0.00175175602011822,-1.31053554429697,"year","MALE"
"PGTIS2002",1.36285214736562,0.0149130987278892,"year","MALE"
"PGTIS2002_signed",-0.0222204976567538,-0.120618369866736,"year","MALE"
"PGTIS2004",1.71139415474806,0.0141866979379346,"year","MALE"
"PGTIS2004_signed",-0.0187095833510121,-0.149761043887517,"year","MALE"
"PGTIS2005",2.33089279719247,0.0123537187488495,"year","MALE"
"PGTIS2005_signed",-0.00859384017807269,-0.356473106276127,"year","MALE"
"PGTIS2010",1.7484296809264,0.0121850384375664,"year","MALE"
"PGTIS2010_signed",-0.0148779925754155,-0.159712878617138,"year","MALE"
"PRT1998",2.38034224852791,0.0139506056582492,"year","MALE"
"PRT1998_signed",-0.0344804348928984,-0.0988540583533894,"year","MALE"
"PRT2001",2.14551198082445,0.0117882088936399,"year","MALE"
"PRT2001_signed",-0.00389197315140335,-0.668224563829915,"year","MALE"
"PRT2007",2.53935154095161,0.0126760125540667,"year","MALE"
"PRT2007_signed",-0.0216470763433599,-0.142450806480639,"year","MALE"
"PRT2008",1.23733510088282,0.0129218321944106,"year","MALE"
"PRT2008_signed",-0.013952239411103,-0.135781677517775,"year","MALE"
"Sorrento2001",1.73232775393844,0.0135376569807718,"year","MALE"
"Sorrento2001_signed",-0.0315771064549674,-0.083038248243998,"year","MALE"
"Sorrento2006",2.16987201555018,0.0122791985634178,"year","MALE"
"Sorrento2006_signed",-0.00682343087160368,-0.390081774969144,"year","MALE"
"Tolko2000",1.92168763602598,0.0128060465561871,"year","MALE"
"Tolko2000_signed",-0.0179636456457635,-0.148393678770991,"year","MALE"
"Tolko2005",2.11073950707987,0.0119098130964649,"year","MALE"
"Tolko2005_signed",-0.0054224095209516,-0.502358467922124,"year","MALE"
"Vernon2000",1.74907058255188,0.0128094670443773,"year","MALE"
"Vernon2000_signed",-0.0203127774384146,-0.127077947562146,"year","MALE"
"Vernon2007",2.68624238020746,0.0123286087804246,"year","MALE"
"Vernon2007_signed",-0.0015634369087939,-1.89340864297018,"year","MALE"
"forcing",0.522955821500769,0.0103948116208406,"clone","FEMALE"
"forcing_signed",-0.0116403654539161,-0.17528216423867,"clone","FEMALE"
"Kalamalka2005",2.24970431188589,0.0117082531324391,"clone","FEMALE"
"Kalamalka2005_signed",-0.0374578699000213,-0.284715188377124,"clone","FEMALE"
"Kalamalka2008",1.18711069319734,0.0126711569201133,"clone","FEMALE"
