"","Sex","Year","DoY","Index","Clone","Phenophase_Derived","Heat","Heatsum","Orchard"
"159","FEMALE",1997,161,437,1587,"3",10.3,334,220
"160","FEMALE",1997,163,437,1587,"3",12.5,358.8,220
"161","FEMALE",1997,148,438,1598,"1",10.5,222.1,220
"162","FEMALE",1997,150,438,1598,"1",10.3,243.2,220
"163","FEMALE",1997,153,438,1598,"2",8.5,270.7,220
"164","FEMALE",1997,155,438,1598,"2",7,288,220
"165","FEMALE",1997,157,438,1598,"2",7.3,303.1,220
"166","FEMALE",1997,159,438,1598,"3",6.8,316.4,220
"167","FEMALE",1997,161,438,1598,"3",10.3,334,220
"168","FEMALE",1997,163,438,1598,"3",12.5,358.8,220
"169","FEMALE",1997,148,441,1557,"1",10.5,222.1,220
"170","FEMALE",1997,150,441,1557,"2",10.3,243.2,220
"171","FEMALE",1997,153,441,1557,"2",8.5,270.7,220
"172","FEMALE",1997,155,441,1557,"3",7,288,220
"173","FEMALE",1997,157,441,1557,"3",7.3,303.1,220
"174","FEMALE",1997,159,441,1557,"3",6.8,316.4,220
"175","FEMALE",1997,161,441,1557,"3",10.3,334,220
"176","FEMALE",1997,163,441,1557,"3",12.5,358.8,220
"177","FEMALE",1997,148,443,1542,"1",10.5,222.1,220
"178","FEMALE",1997,150,443,1542,"1",10.3,243.2,220
"179","FEMALE",1997,153,443,1542,"2",8.5,270.7,220
"180","FEMALE",1997,155,443,1542,"2",7,288,220
"181","FEMALE",1997,157,443,1542,"2",7.3,303.1,220
"182","FEMALE",1997,159,443,1542,"2",6.8,316.4,220
"183","FEMALE",1997,161,443,1542,"3",10.3,334,220
"184","FEMALE",1997,163,443,1542,"3",12.5,358.8,220
"185","FEMALE",1997,148,445,980,"2",10.5,222.1,220
"186","FEMALE",1997,150,445,980,"2",10.3,243.2,220
"187","FEMALE",1997,153,445,980,"2",8.5,270.7,220
"188","FEMALE",1997,155,445,980,"3",7,288,220
"189","FEMALE",1997,157,445,980,"3",7.3,303.1,220
"190","FEMALE",1997,159,445,980,"3",6.8,316.4,220
"191","FEMALE",1997,161,445,980,"3",10.3,334,220
"192","FEMALE",1997,163,445,980,"3",12.5,358.8,220
"193","FEMALE",1997,148,446,1526,"1",10.5,222.1,220
"194","FEMALE",1997,150,446,1526,"1",10.3,243.2,220
"195","FEMALE",1997,153,446,1526,"2",8.5,270.7,220
"196","FEMALE",1997,155,446,1526,"2",7,288,220
"197","FEMALE",1997,157,446,1526,"2",7.3,303.1,220
